datetime,border_1,border_100,border_1200
2014-08-14 19:59:00,102309510,18031740,4349550
2014-08-14 20:59:00,102309510,18034590,4413090
2014-08-14 21:59:00,102309510,18260640,4464720
2014-08-14 22:59:00,102309510,18329310,4479270
2014-08-14 23:59:00,102309510,18420480,4494840
2014-08-15 00:59:00,102658290,18452550,4549410
2014-08-15 01:59:00,103858440,18473850,4625430
2014-08-15 02:59:00,103858440,18473850,4640220
2014-08-15 03:59:00,103858440,18473850,4679730
2014-08-15 04:59:00,103858440,18473850,4687470
2014-08-15 05:59:00,103858440,18473850,4702230
2014-08-15 06:59:00,103858440,18473850,4716060
2014-08-15 07:59:00,103858440,18473850,4740480
2014-08-15 08:59:00,103858440,18473850,4750680
2014-08-15 09:59:00,103858440,18572400,4805850
2014-08-15 10:59:00,103858440,18589260,4832520
2014-08-15 11:59:00,104279940,18589260,4862910
2014-08-15 12:59:00,106671090,18728760,4892040
2014-08-15 13:59:00,106671090,18728760,4931040
2014-08-15 14:59:00,106671090,18728760,4944390
2014-08-15 15:59:00,106671090,18728760,4950360
2014-08-15 16:59:00,106671090,18728760,4967580
2014-08-15 17:59:00,106671090,18728760,4997430
2014-08-15 18:59:00,106671090,18852960,5021520
2014-08-15 19:59:00,106671090,18852960,5041350
2014-08-15 20:59:00,106671090,18861150,5077140
2014-08-15 21:59:00,106671090,19054440,5128890
2014-08-15 22:59:00,107043690,19156470,5187930
2014-08-15 23:59:00,108180540,19390410,5218200
2014-08-16 00:59:00,109044390,19542360,5306430
2014-08-16 01:59:00,110595240,19542360,5346030
2014-08-16 02:59:00,110595240,19542360,5379090
2014-08-16 03:59:00,110595240,19542360,5386320
2014-08-16 04:59:00,110595240,19599810,5430600
2014-08-16 05:59:00,110595240,19599810,5459400
2014-08-16 06:59:00,110595240,19599810,5468340
2014-08-16 07:59:00,110595240,19599810,5489970
2014-08-16 08:59:00,110595240,19599810,5538780
2014-08-16 09:59:00,110595240,19599810,5563050
2014-08-16 10:59:00,110595240,19772670,5654160
2014-08-16 11:59:00,110595240,19772670,5685750
2014-08-16 12:59:00,111017040,19773570,5713260
2014-08-16 13:59:00,112788390,19839300,5747820
2014-08-16 14:59:00,112788390,19876800,5790180
2014-08-16 15:59:00,112788390,19876800,5829030
2014-08-16 16:59:00,112788390,19876800,5849940
2014-08-16 17:59:00,112788390,19903800,5907210
2014-08-16 18:59:00,112788390,19936260,5953890
2014-08-16 19:59:00,112788390,19936260,5977110
2014-08-16 20:59:00,112788390,20028720,6050100
2014-08-16 21:59:00,112788390,20203620,6101550
2014-08-16 22:59:00,112788390,20208030,6193380
2014-08-16 23:59:00,112788390,20208030,6273840
2014-08-17 00:59:00,112788390,20268240,6305580
2014-08-17 01:59:00,112788390,20306940,6342750
2014-08-17 02:59:00,112788390,20457660,6386880
2014-08-17 03:59:00,113816490,20457660,6400470
2014-08-17 04:59:00,113816490,20457660,6409830
2014-08-17 05:59:00,113816490,20457660,6409830
2014-08-17 06:59:00,113816490,20457660,6415980
2014-08-17 07:59:00,113816490,20478330,6470850
